Jaar,Alle werknemersklassen,NIS werknemersklasse,Alle economische activiteiten,Sectie,Aantal btw-plichtige
2021,Alle werknemersklassen,250-499 werknemers,Alle economische activiteiten,K Financiële activiteiten en verzekeringen,23.0
2021,Alle werknemersklassen,250-499 werknemers,Alle economische activiteiten,L Exploitatie van en handel in onroerend goed,1.0
2021,Alle werknemersklassen,250-499 werknemers,Alle economische activiteiten,M Vrije beroepen en wetenschappelijke en technische activiteiten,52.0
2021,Alle werknemersklassen,250-499 werknemers,Alle economische activiteiten,N Administratieve en ondersteunende diensten,83.0
2021,Alle werknemersklassen,250-499 werknemers,Alle economische activiteiten,O Openbaar bestuur en defensie/ verplichte sociale verzekeringen,107.0
2021,Alle werknemersklassen,250-499 werknemers,Alle economische activiteiten,P Onderwijs,22.0
2021,Alle werknemersklassen,250-499 werknemers,Alle economische activiteiten,Q Menselijke gezondheidszorg en maatschappelijke dienstverlening,106.0
2021,Alle werknemersklassen,250-499 werknemers,Alle economische activiteiten,"R Kunst, amusement en recreatie",7.0
2021,Alle werknemersklassen,250-499 werknemers,Alle economische activiteiten,S Overige diensten,9.0
2021,Alle werknemersklassen,250-499 werknemers,Alle economische activiteiten,T Huishoudens als werkgever/ niet-gedifferentieerde productie van goederen en diensten door huishoudens voor eigen gebruik,
2021,Alle werknemersklassen,250-499 werknemers,Alle economische activiteiten,U Extraterritoriale organisaties en lichamen,
2021,Alle werknemersklassen,250-499 werknemers,Alle economische activiteiten,Onbekende economische activiteit,
2021,Alle werknemersklassen,250-499 werknemers,Alle economische activiteiten,,857.0
2021,Alle werknemersklassen,500-999 werknemers,Alle economische activiteiten,"A Landbouw, bosbouw en visserij",
2021,Alle werknemersklassen,500-999 werknemers,Alle economische activiteiten,B Winning van delfstoffen,
2021,Alle werknemersklassen,500-999 werknemers,Alle economische activiteiten,C Industrie,86.0
2021,Alle werknemersklassen,500-999 werknemers,Alle economische activiteiten,"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",2.0
2021,Alle werknemersklassen,500-999 werknemers,Alle economische activiteiten,E Distributie van water/ afval- en afvalwaterbeheer en sanering,7.0
2021,Alle werknemersklassen,500-999 werknemers,Alle economische activiteiten,F Bouwnijverheid,10.0
2021,Alle werknemersklassen,500-999 werknemers,Alle economische activiteiten,G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,44.0
2021,Alle werknemersklassen,500-999 werknemers,Alle economische activiteiten,H Vervoer en opslag,28.0
2021,Alle werknemersklassen,500-999 werknemers,Alle economische activiteiten,I Verschaffen van accommodatie en maaltijden,6.0
2021,Alle werknemersklassen,500-999 werknemers,Alle economische activiteiten,J Informatie en communicatie,14.0
2021,Alle werknemersklassen,500-999 werknemers,Alle economische activiteiten,K Financiële activiteiten en verzekeringen,14.0
2021,Alle werknemersklassen,500-999 werknemers,Alle economische activiteiten,L Exploitatie van en handel in onroerend goed,
2021,Alle werknemersklassen,500-999 werknemers,Alle economische activiteiten,M Vrije beroepen en wetenschappelijke en technische activiteiten,14.0
2021,Alle werknemersklassen,500-999 werknemers,Alle economische activiteiten,N Administratieve en ondersteunende diensten,43.0
2021,Alle werknemersklassen,500-999 werknemers,Alle economische activiteiten,O Openbaar bestuur en defensie/ verplichte sociale verzekeringen,54.0
2021,Alle werknemersklassen,500-999 werknemers,Alle economische activiteiten,P Onderwijs,8.0
2021,Alle werknemersklassen,500-999 werknemers,Alle economische activiteiten,Q Menselijke gezondheidszorg en maatschappelijke dienstverlening,91.0
2021,Alle werknemersklassen,500-999 werknemers,Alle economische activiteiten,"R Kunst, amusement en recreatie",2.0
2021,Alle werknemersklassen,500-999 werknemers,Alle economische activiteiten,S Overige diensten,2.0
2021,Alle werknemersklassen,500-999 werknemers,Alle economische activiteiten,T Huishoudens als werkgever/ niet-gedifferentieerde productie van goederen en diensten door huishoudens voor eigen gebruik,
2021,Alle werknemersklassen,500-999 werknemers,Alle economische activiteiten,U Extraterritoriale organisaties en lichamen,
2021,Alle werknemersklassen,500-999 werknemers,Alle economische activiteiten,Onbekende economische activiteit,
2021,Alle werknemersklassen,500-999 werknemers,Alle economische activiteiten,,425.0
2021,Alle werknemersklassen,1000-1999 werknemers,Alle economische activiteiten,"A Landbouw, bosbouw en visserij",
2021,Alle werknemersklassen,1000-1999 werknemers,Alle economische activiteiten,B Winning van delfstoffen,
2021,Alle werknemersklassen,1000-1999 werknemers,Alle economische activiteiten,C Industrie,29.0
2021,Alle werknemersklassen,1000-1999 werknemers,Alle economische activiteiten,"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",2.0
2021,Alle werknemersklassen,1000-1999 werknemers,Alle economische activiteiten,E Distributie van water/ afval- en afvalwaterbeheer en sanering,5.0
2021,Alle werknemersklassen,1000-1999 werknemers,Alle economische activiteiten,F Bouwnijverheid,4.0
2021,Alle werknemersklassen,1000-1999 werknemers,Alle economische activiteiten,G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,19.0
2021,Alle werknemersklassen,1000-1999 werknemers,Alle economische activiteiten,H Vervoer en opslag,7.0
2021,Alle werknemersklassen,1000-1999 werknemers,Alle economische activiteiten,I Verschaffen van accommodatie en maaltijden,2.0
2021,Alle werknemersklassen,1000-1999 werknemers,Alle economische activiteiten,J Informatie en communicatie,8.0
2021,Alle werknemersklassen,1000-1999 werknemers,Alle economische activiteiten,K Financiële activiteiten en verzekeringen,7.0
2021,Alle werknemersklassen,1000-1999 werknemers,Alle economische activiteiten,L Exploitatie van en handel in onroerend goed,
2021,Alle werknemersklassen,1000-1999 werknemers,Alle economische activiteiten,M Vrije beroepen en wetenschappelijke en technische activiteiten,10.0
2021,Alle werknemersklassen,1000-1999 werknemers,Alle economische activiteiten,N Administratieve en ondersteunende diensten,21.0
2021,Alle werknemersklassen,1000-1999 werknemers,Alle economische activiteiten,O Openbaar bestuur en defensie/ verplichte sociale verzekeringen,33.0
2021,Alle werknemersklassen,1000-1999 werknemers,Alle economische activiteiten,P Onderwijs,2.0
2021,Alle werknemersklassen,1000-1999 werknemers,Alle economische activiteiten,Q Menselijke gezondheidszorg en maatschappelijke dienstverlening,51.0
2021,Alle werknemersklassen,1000-1999 werknemers,Alle economische activiteiten,"R Kunst, amusement en recreatie",1.0
2021,Alle werknemersklassen,1000-1999 werknemers,Alle economische activiteiten,S Overige diensten,
2021,Alle werknemersklassen,1000-1999 werknemers,Alle economische activiteiten,T Huishoudens als werkgever/ niet-gedifferentieerde productie van goederen en diensten door huishoudens voor eigen gebruik,
2021,Alle werknemersklassen,1000-1999 werknemers,Alle economische activiteiten,U Extraterritoriale organisaties en lichamen,
2021,Alle werknemersklassen,1000-1999 werknemers,Alle economische activiteiten,Onbekende economische activiteit,
2021,Alle werknemersklassen,1000-1999 werknemers,Alle economische activiteiten,,201.0
2021,Alle werknemersklassen,2000-2999 werknemers,Alle economische activiteiten,"A Landbouw, bosbouw en visserij",
2021,Alle werknemersklassen,2000-2999 werknemers,Alle economische activiteiten,B Winning van delfstoffen,
2021,Alle werknemersklassen,2000-2999 werknemers,Alle economische activiteiten,C Industrie,7.0
2021,Alle werknemersklassen,2000-2999 werknemers,Alle economische activiteiten,"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",1.0
2021,Alle werknemersklassen,2000-2999 werknemers,Alle economische activiteiten,E Distributie van water/ afval- en afvalwaterbeheer en sanering,1.0
2021,Alle werknemersklassen,2000-2999 werknemers,Alle economische activiteiten,F Bouwnijverheid,
2021,Alle werknemersklassen,2000-2999 werknemers,Alle economische activiteiten,G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,7.0
2021,Alle werknemersklassen,2000-2999 werknemers,Alle economische activiteiten,H Vervoer en opslag,1.0
2021,Alle werknemersklassen,2000-2999 werknemers,Alle economische activiteiten,I Verschaffen van accommodatie en maaltijden,1.0
2021,Alle werknemersklassen,2000-2999 werknemers,Alle economische activiteiten,J Informatie en communicatie,4.0
2021,Alle werknemersklassen,2000-2999 werknemers,Alle economische activiteiten,K Financiële activiteiten en verzekeringen,1.0
2021,Alle werknemersklassen,2000-2999 werknemers,Alle economische activiteiten,L Exploitatie van en handel in onroerend goed,
2021,Alle werknemersklassen,2000-2999 werknemers,Alle economische activiteiten,M Vrije beroepen en wetenschappelijke en technische activiteiten,2.0
2021,Alle werknemersklassen,2000-2999 werknemers,Alle economische activiteiten,N Administratieve en ondersteunende diensten,8.0
2021,Alle werknemersklassen,2000-2999 werknemers,Alle economische activiteiten,O Openbaar bestuur en defensie/ verplichte sociale verzekeringen,6.0
2021,Alle werknemersklassen,2000-2999 werknemers,Alle economische activiteiten,P Onderwijs,2.0
2021,Alle werknemersklassen,2000-2999 werknemers,Alle economische activiteiten,Q Menselijke gezondheidszorg en maatschappelijke dienstverlening,14.0
2021,Alle werknemersklassen,2000-2999 werknemers,Alle economische activiteiten,"R Kunst, amusement en recreatie",
2021,Alle werknemersklassen,2000-2999 werknemers,Alle economische activiteiten,S Overige diensten,
2021,Alle werknemersklassen,2000-2999 werknemers,Alle economische activiteiten,T Huishoudens als werkgever/ niet-gedifferentieerde productie van goederen en diensten door huishoudens voor eigen gebruik,
2021,Alle werknemersklassen,2000-2999 werknemers,Alle economische activiteiten,U Extraterritoriale organisaties en lichamen,
2021,Alle werknemersklassen,2000-2999 werknemers,Alle economische activiteiten,Onbekende economische activiteit,
2021,Alle werknemersklassen,2000-2999 werknemers,Alle economische activiteiten,,55.0
2021,Alle werknemersklassen,3000-3999 werknemers,Alle economische activiteiten,"A Landbouw, bosbouw en visserij",
2021,Alle werknemersklassen,3000-3999 werknemers,Alle economische activiteiten,B Winning van delfstoffen,
2021,Alle werknemersklassen,3000-3999 werknemers,Alle economische activiteiten,C Industrie,7.0
2021,Alle werknemersklassen,3000-3999 werknemers,Alle economische activiteiten,"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",
2021,Alle werknemersklassen,3000-3999 werknemers,Alle economische activiteiten,E Distributie van water/ afval- en afvalwaterbeheer en sanering,
2021,Alle werknemersklassen,3000-3999 werknemers,Alle economische activiteiten,F Bouwnijverheid,1.0
2021,Alle werknemersklassen,3000-3999 werknemers,Alle economische activiteiten,G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,1.0
2021,Alle werknemersklassen,3000-3999 werknemers,Alle economische activiteiten,H Vervoer en opslag,
2021,Alle werknemersklassen,3000-3999 werknemers,Alle economische activiteiten,I Verschaffen van accommodatie en maaltijden,
2021,Alle werknemersklassen,3000-3999 werknemers,Alle economische activiteiten,J Informatie en communicatie,
2021,Alle werknemersklassen,3000-3999 werknemers,Alle economische activiteiten,K Financiële activiteiten en verzekeringen,1.0
2021,Alle werknemersklassen,3000-3999 werknemers,Alle economische activiteiten,L Exploitatie van en handel in onroerend goed,
2021,Alle werknemersklassen,3000-3999 werknemers,Alle economische activiteiten,M Vrije beroepen en wetenschappelijke en technische activiteiten,1.0
2021,Alle werknemersklassen,3000-3999 werknemers,Alle economische activiteiten,N Administratieve en ondersteunende diensten,11.0
2021,Alle werknemersklassen,3000-3999 werknemers,Alle economische activiteiten,O Openbaar bestuur en defensie/ verplichte sociale verzekeringen,5.0
2021,Alle werknemersklassen,3000-3999 werknemers,Alle economische activiteiten,P Onderwijs,
2021,Alle werknemersklassen,3000-3999 werknemers,Alle economische activiteiten,Q Menselijke gezondheidszorg en maatschappelijke dienstverlening,13.0
2021,Alle werknemersklassen,3000-3999 werknemers,Alle economische activiteiten,"R Kunst, amusement en recreatie",
2021,Alle werknemersklassen,3000-3999 werknemers,Alle economische activiteiten,S Overige diensten,
2021,Alle werknemersklassen,3000-3999 werknemers,Alle economische activiteiten,T Huishoudens als werkgever/ niet-gedifferentieerde productie van goederen en diensten door huishoudens voor eigen gebruik,
2021,Alle werknemersklassen,3000-3999 werknemers,Alle economische activiteiten,U Extraterritoriale organisaties en lichamen,
2021,Alle werknemersklassen,3000-3999 werknemers,Alle economische activiteiten,Onbekende economische activiteit,
2021,Alle werknemersklassen,3000-3999 werknemers,Alle economische activiteiten,,40.0
2021,Alle werknemersklassen,4000-4999 werknemers,Alle economische activiteiten,"A Landbouw, bosbouw en visserij",
2021,Alle werknemersklassen,4000-4999 werknemers,Alle economische activiteiten,B Winning van delfstoffen,
2021,Alle werknemersklassen,4000-4999 werknemers,Alle economische activiteiten,C Industrie,1.0
2021,Alle werknemersklassen,4000-4999 werknemers,Alle economische activiteiten,"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",2.0
2021,Alle werknemersklassen,4000-4999 werknemers,Alle economische activiteiten,E Distributie van water/ afval- en afvalwaterbeheer en sanering,
2021,Alle werknemersklassen,4000-4999 werknemers,Alle economische activiteiten,F Bouwnijverheid,
2021,Alle werknemersklassen,4000-4999 werknemers,Alle economische activiteiten,G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,1.0
2021,Alle werknemersklassen,4000-4999 werknemers,Alle economische activiteiten,H Vervoer en opslag,
2021,Alle werknemersklassen,4000-4999 werknemers,Alle economische activiteiten,I Verschaffen van accommodatie en maaltijden,
2021,Alle werknemersklassen,4000-4999 werknemers,Alle economische activiteiten,J Informatie en communicatie,
2021,Alle werknemersklassen,4000-4999 werknemers,Alle economische activiteiten,K Financiële activiteiten en verzekeringen,2.0
2021,Alle werknemersklassen,4000-4999 werknemers,Alle economische activiteiten,L Exploitatie van en handel in onroerend goed,
2021,Alle werknemersklassen,4000-4999 werknemers,Alle economische activiteiten,M Vrije beroepen en wetenschappelijke en technische activiteiten,1.0
2021,Alle werknemersklassen,4000-4999 werknemers,Alle economische activiteiten,N Administratieve en ondersteunende diensten,4.0
2021,Alle werknemersklassen,4000-4999 werknemers,Alle economische activiteiten,O Openbaar bestuur en defensie/ verplichte sociale verzekeringen,2.0
2021,Alle werknemersklassen,4000-4999 werknemers,Alle economische activiteiten,P Onderwijs,1.0
2021,Alle werknemersklassen,4000-4999 werknemers,Alle economische activiteiten,Q Menselijke gezondheidszorg en maatschappelijke dienstverlening,7.0
2021,Alle werknemersklassen,4000-4999 werknemers,Alle economische activiteiten,"R Kunst, amusement en recreatie",
2021,Alle werknemersklassen,4000-4999 werknemers,Alle economische activiteiten,S Overige diensten,
2021,Alle werknemersklassen,4000-4999 werknemers,Alle economische activiteiten,T Huishoudens als werkgever/ niet-gedifferentieerde productie van goederen en diensten door huishoudens voor eigen gebruik,
2021,Alle werknemersklassen,4000-4999 werknemers,Alle economische activiteiten,U Extraterritoriale organisaties en lichamen,
2021,Alle werknemersklassen,4000-4999 werknemers,Alle economische activiteiten,Onbekende economische activiteit,
2021,Alle werknemersklassen,4000-4999 werknemers,Alle economische activiteiten,,21.0
2021,Alle werknemersklassen,5000-9999 werknemers,Alle economische activiteiten,"A Landbouw, bosbouw en visserij",
2021,Alle werknemersklassen,5000-9999 werknemers,Alle economische activiteiten,B Winning van delfstoffen,
2021,Alle werknemersklassen,5000-9999 werknemers,Alle economische activiteiten,C Industrie,4.0
2021,Alle werknemersklassen,5000-9999 werknemers,Alle economische activiteiten,"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",
2021,Alle werknemersklassen,5000-9999 werknemers,Alle economische activiteiten,E Distributie van water/ afval- en afvalwaterbeheer en sanering,
2021,Alle werknemersklassen,5000-9999 werknemers,Alle economische activiteiten,F Bouwnijverheid,
2021,Alle werknemersklassen,5000-9999 werknemers,Alle economische activiteiten,G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,2.0
2021,Alle werknemersklassen,5000-9999 werknemers,Alle economische activiteiten,H Vervoer en opslag,3.0
2021,Alle werknemersklassen,5000-9999 werknemers,Alle economische activiteiten,I Verschaffen van accommodatie en maaltijden,
2021,Alle werknemersklassen,5000-9999 werknemers,Alle economische activiteiten,J Informatie en communicatie,1.0
2021,Alle werknemersklassen,5000-9999 werknemers,Alle economische activiteiten,K Financiële activiteiten en verzekeringen,2.0
2021,Alle werknemersklassen,5000-9999 werknemers,Alle economische activiteiten,L Exploitatie van en handel in onroerend goed,
2021,Alle werknemersklassen,5000-9999 werknemers,Alle economische activiteiten,M Vrije beroepen en wetenschappelijke en technische activiteiten,
2021,Alle werknemersklassen,5000-9999 werknemers,Alle economische activiteiten,N Administratieve en ondersteunende diensten,12.0
2021,Alle werknemersklassen,5000-9999 werknemers,Alle economische activiteiten,O Openbaar bestuur en defensie/ verplichte sociale verzekeringen,4.0
2021,Alle werknemersklassen,5000-9999 werknemers,Alle economische activiteiten,P Onderwijs,3.0
2021,Alle werknemersklassen,5000-9999 werknemers,Alle economische activiteiten,Q Menselijke gezondheidszorg en maatschappelijke dienstverlening,6.0
2021,Alle werknemersklassen,5000-9999 werknemers,Alle economische activiteiten,"R Kunst, amusement en recreatie",
2021,Alle werknemersklassen,5000-9999 werknemers,Alle economische activiteiten,S Overige diensten,
2021,Alle werknemersklassen,5000-9999 werknemers,Alle economische activiteiten,T Huishoudens als werkgever/ niet-gedifferentieerde productie van goederen en diensten door huishoudens voor eigen gebruik,
2021,Alle werknemersklassen,5000-9999 werknemers,Alle economische activiteiten,U Extraterritoriale organisaties en lichamen,
2021,Alle werknemersklassen,5000-9999 werknemers,Alle economische activiteiten,Onbekende economische activiteit,
2021,Alle werknemersklassen,5000-9999 werknemers,Alle economische activiteiten,,37.0
2021,Alle werknemersklassen,+ 10000 werknemers,Alle economische activiteiten,"A Landbouw, bosbouw en visserij",
2021,Alle werknemersklassen,+ 10000 werknemers,Alle economische activiteiten,B Winning van delfstoffen,
2021,Alle werknemersklassen,+ 10000 werknemers,Alle economische activiteiten,C Industrie,
2021,Alle werknemersklassen,+ 10000 werknemers,Alle economische activiteiten,"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",
2021,Alle werknemersklassen,+ 10000 werknemers,Alle economische activiteiten,E Distributie van water/ afval- en afvalwaterbeheer en sanering,
2021,Alle werknemersklassen,+ 10000 werknemers,Alle economische activiteiten,F Bouwnijverheid,
2021,Alle werknemersklassen,+ 10000 werknemers,Alle economische activiteiten,G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,2.0
2021,Alle werknemersklassen,+ 10000 werknemers,Alle economische activiteiten,H Vervoer en opslag,2.0
2021,Alle werknemersklassen,+ 10000 werknemers,Alle economische activiteiten,I Verschaffen van accommodatie en maaltijden,
2021,Alle werknemersklassen,+ 10000 werknemers,Alle economische activiteiten,J Informatie en communicatie,
2021,Alle werknemersklassen,+ 10000 werknemers,Alle economische activiteiten,K Financiële activiteiten en verzekeringen,1.0
2021,Alle werknemersklassen,+ 10000 werknemers,Alle economische activiteiten,L Exploitatie van en handel in onroerend goed,
2021,Alle werknemersklassen,+ 10000 werknemers,Alle economische activiteiten,M Vrije beroepen en wetenschappelijke en technische activiteiten,
2021,Alle werknemersklassen,+ 10000 werknemers,Alle economische activiteiten,N Administratieve en ondersteunende diensten,2.0
2021,Alle werknemersklassen,+ 10000 werknemers,Alle economische activiteiten,O Openbaar bestuur en defensie/ verplichte sociale verzekeringen,6.0
2021,Alle werknemersklassen,+ 10000 werknemers,Alle economische activiteiten,P Onderwijs,2.0
2021,Alle werknemersklassen,+ 10000 werknemers,Alle economische activiteiten,Q Menselijke gezondheidszorg en maatschappelijke dienstverlening,1.0
2021,Alle werknemersklassen,+ 10000 werknemers,Alle economische activiteiten,"R Kunst, amusement en recreatie",
2021,Alle werknemersklassen,+ 10000 werknemers,Alle economische activiteiten,S Overige diensten,
2021,Alle werknemersklassen,+ 10000 werknemers,Alle economische activiteiten,T Huishoudens als werkgever/ niet-gedifferentieerde productie van goederen en diensten door huishoudens voor eigen gebruik,
2021,Alle werknemersklassen,+ 10000 werknemers,Alle economische activiteiten,U Extraterritoriale organisaties en lichamen,
2021,Alle werknemersklassen,+ 10000 werknemers,Alle economische activiteiten,Onbekende economische activiteit,
2021,Alle werknemersklassen,+ 10000 werknemers,Alle economische activiteiten,,16.0
2021,Alle werknemersklassen,,Alle economische activiteiten,"A Landbouw, bosbouw en visserij",49999.0
2021,Alle werknemersklassen,,Alle economische activiteiten,B Winning van delfstoffen,211.0
2021,Alle werknemersklassen,,Alle economische activiteiten,C Industrie,55974.0
2021,Alle werknemersklassen,,Alle economische activiteiten,"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",1362.0
2021,Alle werknemersklassen,,Alle economische activiteiten,E Distributie van water/ afval- en afvalwaterbeheer en sanering,1759.0
2021,Alle werknemersklassen,,Alle economische activiteiten,F Bouwnijverheid,151380.0
2021,Alle werknemersklassen,,Alle economische activiteiten,G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,189668.0
2021,Alle werknemersklassen,,Alle economische activiteiten,H Vervoer en opslag,29731.0
2021,Alle werknemersklassen,,Alle economische activiteiten,I Verschaffen van accommodatie en maaltijden,62489.0
2021,Alle werknemersklassen,,Alle economische activiteiten,J Informatie en communicatie,58172.0
2021,Alle werknemersklassen,,Alle economische activiteiten,K Financiële activiteiten en verzekeringen,9167.0
2021,Alle werknemersklassen,,Alle economische activiteiten,L Exploitatie van en handel in onroerend goed,33014.0
2021,Alle werknemersklassen,,Alle economische activiteiten,M Vrije beroepen en wetenschappelijke en technische activiteiten,215738.0
2021,Alle werknemersklassen,,Alle economische activiteiten,N Administratieve en ondersteunende diensten,67176.0
2021,Alle werknemersklassen,,Alle economische activiteiten,O Openbaar bestuur en defensie/ verplichte sociale verzekeringen,920.0
2021,Alle werknemersklassen,,Alle economische activiteiten,P Onderwijs,24492.0
2021,Alle werknemersklassen,,Alle economische activiteiten,Q Menselijke gezondheidszorg en maatschappelijke dienstverlening,28391.0
2021,Alle werknemersklassen,,Alle economische activiteiten,"R Kunst, amusement en recreatie",41175.0
2021,Alle werknemersklassen,,Alle economische activiteiten,S Overige diensten,73366.0
2021,Alle werknemersklassen,,Alle economische activiteiten,T Huishoudens als werkgever/ niet-gedifferentieerde productie van goederen en diensten door huishoudens voor eigen gebruik,131.0
2021,Alle werknemersklassen,,Alle economische activiteiten,U Extraterritoriale organisaties en lichamen,24.0
2021,Alle werknemersklassen,,Alle economische activiteiten,Onbekende economische activiteit,268.0
2021,Alle werknemersklassen,,Alle economische activiteiten,,1094607.0
