België,Gewest,Provincie,Arrondissement,Gemeente,Totale bevolking
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Steenokkerzeel,12092
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Beyne-Heusay,12036
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Theux,12007
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Nevele,11953
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Boortmeerbeek,11891
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Hechtel-Eksel,11886
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Aywaille,11822
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Oostende,Gistel,11806
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Olen,11794
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Anderlues,11763
België,Waals Gewest,Provincie Henegouwen,Arrondissement Aat,Bernissart,11729
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Virton,11587
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Veurne,Veurne,11571
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Profondeville,11562
België,Waals Gewest,Provincie Namen,Arrondissement Philippeville,Florennes,11512
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Chaumont-Gistoux,11491
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Veurne,Nieuwpoort,11398
België,Waals Gewest,Provincie Henegouwen,Arrondissement Aat,Frasnes-lez-Anvaing,11347
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Deerlijk,11314
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Roosdaal,11303
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Alken,11301
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Wichelen,11300
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Rijkevorsel,11293
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Nazareth,11263
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Kampenhout,11252
België,Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,Durbuy,11186
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Tielt,Meulebeke,11100
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Grobbendonk,11056
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Farciennes,11045
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Oud-Heverlee,11012
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Roeselare,Staden,10980
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Kelmis,10940
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Seneffe,10918
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Berlaar,10900
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Melle,10879
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Roeselare,Moorslede,10870
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Brugge,Damme,10845
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Retie,10841
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Roeselare,Ingelmunster,10752
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Veurne,De Panne,10748
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Aiseau-Presles,10650
België,Waals Gewest,Provincie Henegouwen,Arrondissement Zinnik,Ecaussinnes,10633
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Rebecq,10593
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Spa,10544
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Waasmunster,10518
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Vosselaar,10501
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Raeren,10488
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Libramont-Chevigny,10488
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Borgloon,10474
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Tielt-Winge,10438
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Hoeilaart,10429
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Ham,10397
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Hemiksem,10346
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,De Pinte,10290
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Borsbeek,10235
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Villers-la-Ville,10164
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Montigny-le-Tilleul,10151
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Opglabbeek,10127
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Jurbeke,10043
België,Waals Gewest,Provincie Henegouwen,Arrondissement Doornik,Estaimpuis,10037
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Hulshout,9986
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Roeselare,Hooglede,9971
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Court-Saint-Etienne,9948
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Fosses-la-Ville,9904
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Plombières,9890
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Sint-Lievens-Houtem,9875
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Chimay,9871
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Neupré,9868
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Begijnendijk,9853
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Kasteelbrakel,9843
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Meerhout,9817
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Erquelinnes,9752
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Pepinster,9726
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Holsbeek,9712
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Avelgem,9671
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Welkenraedt,9655
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Diksmuide,Houthulst,9652
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Hoeselt,9608
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Roeselare,Ledegem,9603
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Bertem,9570
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Bierbeek,9508
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Lovendegem,9500
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Huldenberg,9471
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Niel,9408
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Sankt Vith,9399
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Yvoir,9274
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Halen,9257
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Dessel,9185
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Tielt,Wielsbeke,9177
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Gooik,9113
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Les Bons Villers,9102
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Kapelle-op-den-Bos,9090
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Tielt,Ardooie,9072
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Oostende,Oudenburg,9061
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Wijnegem,9055
België,Waals Gewest,Provincie Namen,Arrondissement Philippeville,Philippeville,9053
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Juprelle,9040
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Beauraing,9005
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Lennik,8880
België,Waals Gewest,Provincie Namen,Arrondissement Namen,La Bruyère,8861
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Awans,8859
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Herenthout,8741
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Bitsingen,8724
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Lint,8672
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Merksplas,8641
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Galmaarden,8519
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Roeselare,Lichtervelde,8502
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Diksmuide,Koekelare,8467
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Bertrix,8422
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Sint-Martens-Latem,8391
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Trooz,8369
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Kortessem,8336
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Tielt,Dentergem,8311
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Jalhay,8305
België,Waals Gewest,Provincie Henegouwen,Arrondissement Zinnik,Le Roeulx,8282
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Orp-Jauche,8267
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Zoutleeuw,8246
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Gingelom,8221
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Habay,8219
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Hove (Antwerpen),8198
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Knesselare,8187
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Zomergem,8172
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Kruishoutem,8162
België,Waals Gewest,Provincie Henegouwen,Arrondissement Zinnik,Opzullik,8160
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Sint-Amands,8149
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Sombreffe,8140
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Perwijs (Nijvel),8104
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Zwalm,8100
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Schelle,8098
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Ieper,Heuvelland,8003
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Ieper,Langemark-Poelkapelle,7962
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Waarschoot,7940
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,As,7867
België,Waals Gewest,Provincie Henegouwen,Arrondissement Doornik,Brunehaut,7865
België,Waals Gewest,Provincie Luxemburg,Arrondissement Aarlen,Messancy,7863
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Quévy,7829
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Floreffe,7818
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Kortenaken,7817
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Estinnes,7727
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Boutersem,7696
België,Waals Gewest,Provincie Henegouwen,Arrondissement Doornik,Antoing,7667
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Vorselaar,7560
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Tielt,Oostrozebeke,7546
België,Waals Gewest,Provincie Luxemburg,Arrondissement Bastenaken,Vielsalm,7536
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Terhulpen,7479
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Wellen,7392
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Wachtebeke,7235
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Hamois,7225
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Zingem,7209
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Fernelmont,7150
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Heers,7106
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Linter,7100
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Neufchâteau (Neufchâteau),7093
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Beaumont,7084
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Zutendaal,7074
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Weismes,7054
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Anhée,7034
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Chastre,6986
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Dalhem,6908
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Mont-Saint-Guibert,6896
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Stavelot,6884
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Hensies,6778
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Gesves,6749
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Bevekom,6742
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Tielt,Pittem,6732
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Nieuwerkerken (Hasselt),6695
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Quiévrain,6688
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Assesse,6660
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Hoegaarden,6647
België,Waals Gewest,Provincie Henegouwen,Arrondissement Aat,Chièvres,6625
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Herne,6622
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Eeklo,Sint-Laureins,6546
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Saint-Georges-sur-Meuse,6520
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Lierde,6501
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Kluisbergen,6490
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Itter,6460
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Maarkedal,6457
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Walhain,6443
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Villers-Le-Bouillet,6339
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Eeklo,Kaprijke,6305
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Wortegem-Petegem,6282
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Ramillies,6162
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Bekkevoort,6097
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Moerbeke (Gent),6037
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Geetbets,5932
België,Waals Gewest,Provincie Namen,Arrondissement Philippeville,Viroinval,5914
België,Waals Gewest,Provincie Henegouwen,Arrondissement Aat,Elzele,5877
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Braives,5853
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Limburg,5786
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Engis,5762
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Nandrin,5744
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Büllingen,5720
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Bütgenbach,5718
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Saint-Hubert,5709
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Lobbes,5695
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Hastière,5664
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Lendelede,5653
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Etalle,5602
België,Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,Hotton,5600
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Remicourt,5583
België,Waals Gewest,Provincie Henegouwen,Arrondissement Doornik,Celles (Doornik),5496
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Florenville,5483
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Lontzen,5480
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Bouillon,5467
België,Waals Gewest,Provincie Henegouwen,Arrondissement Doornik,Pecq,5464
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Thimister-Clermont,5460
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Amel,5440
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Comblain-au-Pont,5394
België,Waals Gewest,Provincie Luxemburg,Arrondissement Bastenaken,Gouvy,5394
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Glabbeek,5312
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Momignies,5274
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Marchin,5242
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Tielt,Ruiselede,5214
België,Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,Nassogne,5208
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Paliseul,5208
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Chiny,5154
België,Waals Gewest,Provincie Henegouwen,Arrondissement Doornik,Rumes,5138
België,Waals Gewest,Provincie Luxemburg,Arrondissement Bastenaken,Vaux-sur-Sûre,5131
België,Waals Gewest,Provincie Luxemburg,Arrondissement Aarlen,Attert,5122
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Havelange,5057
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Honnelles,5031
België,Waals Gewest,Provincie Luxemburg,Arrondissement Bastenaken,Houffalize,5029
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Somme-Leuze,4963
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Veurne,Alveringem,4958
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Héron,4949
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Drogenbos,4945
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Sivry-Rance,4884
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Incourt,4864
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Libin,4851
België,Waals Gewest,Provincie Namen,Arrondissement Philippeville,Cerfontaine,4833
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Linkebeek,4812
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Léglise,4760
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Ferrières,4713
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Ohey,4697
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Houyet,4562
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Gedinne,4465
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Pepingen,4458
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Clavier,4435
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Musson,4410
België,Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,La Roche-en-Ardenne,4306
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Merbes-le-Château,4283
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Baelen,4257
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Lens,4250
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Voeren,4200
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Aubel,4185
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Anthisnes,4080
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Burg-Reuland,3975
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Modave,3952
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Tintigny,3903
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Olne,3817
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Verlaine,3809
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Hamoir,3806
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Froidchapelle,3777
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Faimes,3776
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Ieper,Vleteren,3716
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Oerle,3570
België,Waals Gewest,Provincie Henegouwen,Arrondissement Doornik,Mont-de-l’Enclus,3528
België,Waals Gewest,Provincie Henegouwen,Arrondissement Aat,Brugelette,3490
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Lierneux,3486
België,Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,Manhay,3442
België,Waals Gewest,Provincie Henegouwen,Arrondissement Aat,Vloesberg,3410
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Diksmuide,Lo-Reninge,3320
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Saint-Léger (Virton),3314
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Hélécine,3213
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Lijsem,3210
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Stoumont,3208
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Geer,3197
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Fexhe-le-Haut-Clocher,3183
België,Waals Gewest,Provincie Luxemburg,Arrondissement Bastenaken,Bertogne,3176
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Bièvre,3172
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Onhaye,3130
België,Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,Erezée,3117
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Crisnée,3037
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Wellin,3000
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Burdinne,2998
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Berloz,2950
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Donceel,2934
België,Waals Gewest,Provincie Namen,Arrondissement Philippeville,Doische,2896
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Vresse-sur-Semois,2853
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Brugge,Zuienkerke,2767
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Meix-devant-Virton,2738
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Ouffet,2721
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Wasseiges,2713
België,Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,Tenneville,2691
België,Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,Rendeux,2688
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Baarle-Hertog,2603
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Tinlot,2587
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Trois-Ponts,2511
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Tellin,2500
België,Waals Gewest,Provincie Luxemburg,Arrondissement Bastenaken,Sainte-Ode,2442
België,Waals Gewest,Provincie Luxemburg,Arrondissement Bastenaken,Fauvillers,2236
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Bever,2155
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Spiere-Helkijn,2126
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Horebeke,2081
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Rouvroy,2079
België,Waals Gewest,Provincie Luxemburg,Arrondissement Aarlen,Martelange,1731
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Herbeumont,1557
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Daverdisse,1405
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Ieper,Mesen,945
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Herstappe,85
België,,,,,11000638
