België,Gewest,Provincie,Arrondissement,Gemeente,Verhuizingen in 2010
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Villers-Le-Bouillet,0.107
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Ans,0.107
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Merbes-le-Château,0.107
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Quaregnon,0.107
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Menen,0.107
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Eeklo,Zelzate,0.107
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Sint-Niklaas,Lokeren,0.107
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Hélécine,0.107
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Anderlues,0.107
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Geel,0.107
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Fléron,0.108
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Duffel,0.108
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Tienen,0.108
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Wetteren,0.108
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Lanaken,0.108
België,Waals Gewest,Provincie Namen,Arrondissement Philippeville,Philippeville,0.108
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Héron,0.108
België,Waals Gewest,Provincie Henegouwen,Arrondissement Zinnik,Zinnik,0.108
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Binche,0.108
België,Waals Gewest,Provincie Henegouwen,Arrondissement Aat,Aat,0.108
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Kelmis,0.108
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Herentals,0.109
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Bertrix,0.109
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Eeklo,Eeklo,0.109
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Sint-Niklaas,Temse,0.109
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Hasselt,0.109
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Kraainem,0.109
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Seneffe,0.109
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Hamme (Dendermonde),0.109
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Dalhem,0.109
België,Waals Gewest,Provincie Namen,Arrondissement Philippeville,Doische,0.109
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Momignies,0.109
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Libin,0.11
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Lens,0.11
België,Waals Gewest,Provincie Henegouwen,Arrondissement Zinnik,Ecaussinnes,0.11
België,Waals Gewest,Provincie Henegouwen,Arrondissement Aat,Beloeil,0.11
België,Waals Gewest,Provincie Henegouwen,Arrondissement Zinnik,La Louvière,0.11
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Habay,0.11
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Brugge,Knokke-Heist,0.11
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Leopoldsburg,0.11
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Rixensart,0.111
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Asse,0.111
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Court-Saint-Etienne,0.111
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Juprelle,0.111
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Sint-Truiden,0.111
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Chapelle-lez-Herlaimont,0.111
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Daverdisse,0.111
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Denderleeuw,0.111
België,Waals Gewest,Provincie Henegouwen,Arrondissement Doornik,Antoing,0.111
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Terhulpen,0.111
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Sambreville,0.111
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Perwijs (Nijvel),0.112
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Lier,0.112
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Oostende,Bredene,0.112
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Steenokkerzeel,0.112
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Sint-Niklaas,Sint-Niklaas (Sint-Niklaas),0.112
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Fontaine-l’Evêque,0.112
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Stavelot,0.112
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Herbeumont,0.112
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Ronse,0.113
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Waterloo,0.113
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Mont-Saint-Guibert,0.113
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Anhée,0.113
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Tubeke,0.113
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Sprimont,0.113
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Malmedy,0.113
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Eupen,0.113
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Hemiksem,0.113
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Fleurus,0.114
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Courcelles,0.114
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Arendonk,0.114
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Dour,0.114
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Ouffet,0.114
België,Waals Gewest,Provincie Luxemburg,Arrondissement Bastenaken,Vielsalm,0.115
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Paliseul,0.115
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Waver,0.115
België,Waals Gewest,Provincie Luxemburg,Arrondissement Bastenaken,Sainte-Ode,0.115
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Sivry-Rance,0.115
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Ieper,Mesen,0.115
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Aalst (Aalst),0.115
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Hamoir,0.115
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Wemmel,0.115
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Modave,0.116
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Lierneux,0.116
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Hannuit,0.116
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Neufchâteau (Neufchâteau),0.116
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Watermaal-Bosvoorde,0.116
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Borgworm,0.116
België,Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,La Roche-en-Ardenne,0.116
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Somme-Leuze,0.116
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Oostende,De Haan,0.117
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Frameries,0.117
België,Waals Gewest,Provincie Luxemburg,Arrondissement Bastenaken,Houffalize,0.117
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Colfontaine,0.117
België,Waals Gewest,Provincie Henegouwen,Arrondissement Doornik,Péruwelz,0.117
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Herstal,0.118
België,Waals Gewest,Provincie Henegouwen,Arrondissement Doornik,Doornik,0.118
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Châtelet,0.118
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Morlanwelz,0.118
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Welkenraedt,0.118
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Beaumont,0.118
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Léglise,0.119
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Bouillon,0.119
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Erquelinnes,0.119
België,Waals Gewest,Provincie Henegouwen,Arrondissement Moeskroen,Moeskroen,0.119
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Florenville,0.12
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Amay,0.12
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Flémalle,0.12
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Vresse-sur-Semois,0.12
België,Waals Gewest,Provincie Henegouwen,Arrondissement Aat,Vloesberg,0.121
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Vilvoorde,0.121
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Manage,0.121
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Wasseiges,0.122
België,Waals Gewest,Provincie Namen,Arrondissement Philippeville,Cerfontaine,0.122
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Limburg,0.122
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Niel,0.122
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Ohey,0.122
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Saint-Nicolas (Luik),0.123
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Oostende,Middelkerke,0.123
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Borsbeek,0.123
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Mechelen,0.123
België,Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,Nassogne,0.123
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Quiévrain,0.123
België,Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,Erezée,0.124
België,Waals Gewest,Provincie Namen,Arrondissement Philippeville,Couvin,0.124
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Machelen (Halle-Vilvoorde),0.124
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Boom,0.124
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Farciennes,0.125
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Andenne,0.125
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Drogenbos,0.126
België,Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,Durbuy,0.126
België,Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,Manhay,0.127
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Zaventem,0.127
België,Waals Gewest,Provincie Henegouwen,Arrondissement Aat,Brugelette,0.127
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Hamois,0.128
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Turnhout,0.128
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Libramont-Chevigny,0.129
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Rochefort,0.129
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Veurne,De Panne,0.129
België,Waals Gewest,Provincie Luxemburg,Arrondissement Aarlen,Aubange,0.13
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Baarle-Hertog,0.13
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Veurne,Nieuwpoort,0.131
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Yvoir,0.131
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Ciney,0.131
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Froidchapelle,0.131
België,Waals Gewest,Provincie Henegouwen,Arrondissement Zinnik,Edingen,0.132
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Virton,0.132
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Spa,0.132
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Trooz,0.133
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Geldenaken,0.134
België,Waals Gewest,Provincie Luxemburg,Arrondissement Bastenaken,Bastenaken,0.134
België,Waals Gewest,Provincie Namen,Arrondissement Philippeville,Florennes,0.135
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Brugge,Blankenberge,0.135
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Nijvel,0.135
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Dison,0.135
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Hastière,0.135
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Namen,0.135
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Seraing,0.136
België,Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,Marche-en-Famenne,0.137
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Beauraing,0.137
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Oostende,Oostende,0.137
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Aywaille,0.137
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Charleroi,0.138
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Gembloux,0.139
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Sint-Agatha-Berchem,0.141
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Sint-Pieters-Woluwe,0.142
België,Waals Gewest,Provincie Namen,Arrondissement Philippeville,Viroinval,0.142
België,Waals Gewest,Provincie Luxemburg,Arrondissement Aarlen,Aarlen,0.146
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Stoumont,0.147
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Gent,0.147
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Verviers,0.15
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Bergen,0.152
België,Waals Gewest,Provincie Luxemburg,Arrondissement Bastenaken,Gouvy,0.152
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Antwerpen,0.153
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Ganshoren,0.153
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Ukkel,0.154
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Oudergem,0.155
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Sint-Lambrechts-Woluwe,0.156
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Ottignies-Louvain-la-Neuve,0.156
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Evere,0.158
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Leuven,0.158
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Jette,0.159
België,Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,Rendeux,0.163
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Luik,0.165
België,Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,Hotton,0.168
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Dinant,0.169
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Anderlecht,0.17
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Hoei,0.171
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Sint-Jans-Molenbeek,0.172
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Vorst (Brussel-Hoofdstad),0.177
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Schaarbeek,0.18
België,Waals Gewest,Provincie Luxemburg,Arrondissement Aarlen,Martelange,0.183
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Koekelberg,0.184
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Etterbeek,0.197
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Sint-Joost-ten-Node,0.209
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Elsene,0.214
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Brussel,0.214
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Sint-Gillis,0.219
België,,,,,0.115
