België,Gewest,Provincie,Arrondissement,Gemeente,Nationaliteit van een niet-EU land
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Herstappe,
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Wellin,0.001
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Amel,0.002
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Gedinne,0.002
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Spiere-Helkijn,0.002
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Honnelles,0.002
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Libin,0.003
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Veurne,Alveringem,0.003
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Braives,0.003
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Diksmuide,Lo-Reninge,0.003
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Roeselare,Staden,0.003
België,Waals Gewest,Provincie Henegouwen,Arrondissement Doornik,Rumes,0.003
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Clavier,0.003
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Meix-devant-Virton,0.003
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Diksmuide,Kortemark,0.003
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Momignies,0.003
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Brugge,Damme,0.003
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Nandrin,0.003
België,Waals Gewest,Provincie Luxemburg,Arrondissement Aarlen,Attert,0.003
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Ieper,Zonnebeke,0.003
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Zwalm,0.003
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Horebeke,0.003
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Donceel,0.003
België,Waals Gewest,Provincie Namen,Arrondissement Namen,La Bruyère,0.003
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Diksmuide,Houthulst,0.004
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Anzegem,0.004
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Roeselare,Moorslede,0.004
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Zingem,0.004
België,Waals Gewest,Provincie Henegouwen,Arrondissement Doornik,Celles (Doornik),0.004
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Bièvre,0.004
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Moerbeke (Gent),0.004
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Daverdisse,0.004
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Musson,0.004
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Thimister-Clermont,0.004
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Wortegem-Petegem,0.004
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Tintigny,0.004
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Ohey,0.004
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Diksmuide,Koekelare,0.004
België,Waals Gewest,Provincie Namen,Arrondissement Philippeville,Walcourt,0.004
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Ieper,Vleteren,0.004
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Tielt,Dentergem,0.004
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Eeklo,Sint-Laureins,0.004
België,Waals Gewest,Provincie Henegouwen,Arrondissement Doornik,Mont-de-l’Enclus,0.004
België,Waals Gewest,Provincie Henegouwen,Arrondissement Aat,Elzele,0.004
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Vorselaar,0.004
België,Waals Gewest,Provincie Henegouwen,Arrondissement Doornik,Estaimpuis,0.004
België,Waals Gewest,Provincie Henegouwen,Arrondissement Doornik,Brunehaut,0.004
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Ferrières,0.004
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Paliseul,0.004
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Maarkedal,0.004
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Ham-sur-Heure-Nalinnes,0.004
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Burdinne,0.004
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Jalhay,0.004
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Sint-Lievens-Houtem,0.004
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Zomergem,0.004
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Kruishoutem,0.004
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Berlare,0.005
België,Waals Gewest,Provincie Luxemburg,Arrondissement Bastenaken,Vaux-sur-Sûre,0.005
België,Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,Tenneville,0.005
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Herbeumont,0.005
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Havelange,0.005
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Laakdal,0.005
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Eeklo,Kaprijke,0.005
België,Waals Gewest,Provincie Henegouwen,Arrondissement Aat,Frasnes-lez-Anvaing,0.005
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Galmaarden,0.005
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Brugge,Beernem,0.005
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Brugge,Zuienkerke,0.005
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Oosterzele,0.005
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Brakel,0.005
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Tielt,Ruiselede,0.005
België,Waals Gewest,Provincie Henegouwen,Arrondissement Moeskroen,Komen-Waasten,0.005
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Burg-Reuland,0.005
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Bouillon,0.005
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Houyet,0.005
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Onhaye,0.005
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Glabbeek,0.005
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Knesselare,0.005
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Fernelmont,0.005
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,De Pinte,0.005
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Opglabbeek,0.005
België,Waals Gewest,Provincie Henegouwen,Arrondissement Aat,Vloesberg,0.005
België,Waals Gewest,Provincie Henegouwen,Arrondissement Doornik,Antoing,0.005
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Fexhe-le-Haut-Clocher,0.005
België,Waals Gewest,Provincie Luxemburg,Arrondissement Bastenaken,Bertogne,0.005
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Jemeppe-sur-Sambre,0.005
België,Waals Gewest,Provincie Namen,Arrondissement Philippeville,Cerfontaine,0.005
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Brugge,Zedelgem,0.005
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Fosses-la-Ville,0.005
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Ieper,Heuvelland,0.005
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Gerpinnes,0.005
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Olne,0.005
België,Waals Gewest,Provincie Namen,Arrondissement Philippeville,Doische,0.005
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Grobbendonk,0.005
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Brugge,Jabbeke,0.005
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Tielt,Ardooie,0.005
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Laarne,0.005
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Gavere,0.005
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Nazareth,0.005
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Froidchapelle,0.005
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Begijnendijk,0.005
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Haacht,0.005
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Linter,0.005
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Veurne,Veurne,0.005
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Mettet,0.005
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Lede,0.006
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Somme-Leuze,0.006
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Nijlen,0.006
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Brugge,Oostkamp,0.006
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Diksmuide,Diksmuide,0.006
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Comblain-au-Pont,0.006
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Eghezée,0.006
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Lendelede,0.006
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Oostende,Ichtegem,0.006
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Lochristi,0.006
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Habay,0.006
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Floreffe,0.006
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Quévy,0.006
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Herselt,0.006
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Evergem,0.006
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Lierde,0.006
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Dessel,0.006
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Lubbeek,0.006
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Roeselare,Hooglede,0.006
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Haaltert,0.006
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Marchin,0.006
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Sombreffe,0.006
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Rotselaar,0.006
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Sivry-Rance,0.006
België,Waals Gewest,Provincie Henegouwen,Arrondissement Doornik,Pecq,0.006
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Wanze,0.006
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Zandhoven,0.006
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Ramillies,0.006
België,Waals Gewest,Provincie Henegouwen,Arrondissement Doornik,Leuze-en-Hainaut,0.006
België,Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,Nassogne,0.006
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Waarschoot,0.006
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Anthisnes,0.006
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Etalle,0.006
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Stabroek,0.007
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Lille,0.007
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Zemst,0.007
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Buggenhout,0.007
België,Waals Gewest,Provincie Henegouwen,Arrondissement Aat,Beloeil,0.007
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Kluisbergen,0.007
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Crisnée,0.007
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Geer,0.007
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Faimes,0.007
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Balen,0.007
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Kortessem,0.007
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Dour,0.007
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Anhée,0.007
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Boutersem,0.007
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Oostende,Oudenburg,0.007
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Modave,0.007
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Verlaine,0.007
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Brecht,0.007
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Kasterlee,0.007
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Rijkevorsel,0.007
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Herne,0.007
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Tremelo,0.007
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Tielt,Oostrozebeke,0.007
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Oud-Turnhout,0.007
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Lummen,0.007
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Hove (Antwerpen),0.007
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Hulshout,0.007
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Villers-Le-Bouillet,0.007
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Ciney,0.007
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Zulte,0.007
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Lobbes,0.007
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Tinlot,0.007
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Bonheiden,0.007
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Pepingen,0.007
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Holsbeek,0.007
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Tielt-Winge,0.007
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Ieper,Mesen,0.007
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Tielt,Wielsbeke,0.007
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Villers-la-Ville,0.007
België,Waals Gewest,Provincie Namen,Arrondissement Philippeville,Couvin,0.007
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Zottegem,0.008
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Sint-Niklaas,Stekene,0.008
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Kinrooi,0.008
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Bütgenbach,0.008
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Berlaar,0.008
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Bornem,0.008
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Kampenhout,0.008
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Aarschot,0.008
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Zwevegem,0.008
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Erpe-Mere,0.008
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Merelbeke,0.008
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Bitsingen,0.008
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Oerle,0.008
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Tellin,0.008
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Avelgem,0.008
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Oostende,Middelkerke,0.008
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Erquelinnes,0.008
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Florenville,0.008
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Rouvroy,0.008
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Gesves,0.008
