België,Gewest,Provincie,Arrondissement,Gemeente,Nationaliteit van een niet-EU land
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Voeren,0.015
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Zwijndrecht,0.015
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Heers,0.015
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Fontaine-l’Evêque,0.015
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Colfontaine,0.016
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Schoten,0.016
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Bertem,0.016
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Roeselare,Ingelmunster,0.016
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Borgloon,0.016
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Saint-Ghislain,0.016
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Juprelle,0.016
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Sankt Vith,0.016
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Tongeren,0.016
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Merbes-le-Château,0.016
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Boussu,0.016
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Saint-Léger (Virton),0.016
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Oudenaarde,0.016
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Merksplas,0.016
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Harelbeke,0.016
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Grâce-Hollogne,0.016
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Wommelgem,0.017
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Frameries,0.017
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Essen,0.017
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Meise,0.017
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Veurne,De Panne,0.017
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Eigenbrakel,0.017
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Herentals,0.017
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Ieper,Ieper,0.017
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Ninove,0.017
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Overpelt,0.017
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Courcelles,0.017
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Sprimont,0.017
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Quiévrain,0.017
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Hamme (Dendermonde),0.017
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Hemiksem,0.017
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Fléron,0.017
België,Waals Gewest,Provincie Luxemburg,Arrondissement Aarlen,Aubange,0.017
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Bilzen,0.018
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Lasne,0.018
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Seneffe,0.018
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Nijvel,0.018
België,Waals Gewest,Provincie Henegouwen,Arrondissement Zinnik,’s Gravenbrakel,0.018
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Welkenraedt,0.018
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Assesse,0.018
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Geel,0.018
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Brugge,Brugge,0.018
België,Waals Gewest,Provincie Luxemburg,Arrondissement Bastenaken,Bastenaken,0.018
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Raeren,0.018
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Limburg,0.018
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Malmedy,0.018
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Linkebeek,0.018
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Diest,0.018
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Ieper,Langemark-Poelkapelle,0.018
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Lontzen,0.019
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Liedekerke,0.019
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Brasschaat,0.019
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Court-Saint-Etienne,0.019
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Geraardsbergen,0.019
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Beyne-Heusay,0.02
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Eeklo,Eeklo,0.02
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Morlanwelz,0.02
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Wetteren,0.021
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Anderlues,0.021
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Mol,0.021
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Waver,0.021
België,Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,Erezée,0.021
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Eeklo,Zelzate,0.021
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Beringen,0.021
België,Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,Durbuy,0.021
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Kuurne,0.021
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Tienen,0.022
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Rixensart,0.022
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Manage,0.023
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Lint,0.023
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Beersel,0.023
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Denderleeuw,0.023
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Dilbeek,0.023
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Edegem,0.023
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Fleurus,0.024
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Houthalen-Helchteren,0.024
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Roeselare,Roeselare,0.024
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Tubeke,0.024
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Sint-Niklaas,Temse,0.025
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Hensies,0.025
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Ans,0.025
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Grimbergen,0.026
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Leopoldsburg,0.026
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Lanaken,0.026
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Geldenaken,0.026
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Halle (Halle-Vilvoorde),0.026
België,Waals Gewest,Provincie Luxemburg,Arrondissement Aarlen,Aarlen,0.026
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Lier,0.026
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Terhulpen,0.026
België,Waals Gewest,Provincie Henegouwen,Arrondissement Zinnik,La Louvière,0.026
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Ranst,0.026
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Kortenberg,0.026
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Sint-Pieters-Leeuw,0.026
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Mortsel,0.027
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Aiseau-Presles,0.027
België,Waals Gewest,Provincie Henegouwen,Arrondissement Zinnik,Zinnik,0.027
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Kapellen (Antwerpen),0.028
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Wezet,0.028
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Virton,0.028
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Hasselt,0.028
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Aywaille,0.028
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Beauraing,0.028
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Hoeilaart,0.028
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Quaregnon,0.028
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Maasmechelen,0.028
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Zele,0.028
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Borsbeek,0.029
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Menen,0.029
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Gembloux,0.029
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Aalst (Aalst),0.03
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Drogenbos,0.03
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Sint-Genesius-Rode,0.03
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Willebroek,0.03
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Heusden-Zolder,0.031
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Châtelet,0.031
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Vresse-sur-Semois,0.031
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Overijse,0.032
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Wemmel,0.032
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Asse,0.033
België,Waals Gewest,Provincie Namen,Arrondissement Philippeville,Viroinval,0.034
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Ronse,0.034
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Namen,0.035
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Sint-Truiden,0.035
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Seraing,0.035
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Wezembeek-Oppem,0.036
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Hoei,0.036
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Sint-Niklaas,Sint-Niklaas (Sint-Niklaas),0.037
België,Waals Gewest,Provincie Henegouwen,Arrondissement Aat,Brugelette,0.037
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Turnhout,0.037
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Genk,0.037
België,Waals Gewest,Provincie Namen,Arrondissement Philippeville,Florennes,0.038
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Kelmis,0.038
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Arendonk,0.038
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Watermaal-Bosvoorde,0.038
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Dinant,0.038
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Kortrijk,0.039
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Sint-Niklaas,Lokeren,0.039
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Hamois,0.04
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Oostende,Oostende,0.041
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Büllingen,0.042
België,Waals Gewest,Provincie Luxemburg,Arrondissement Aarlen,Martelange,0.043
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Saint-Nicolas (Luik),0.043
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Boom,0.044
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Tervuren,0.044
België,Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,Manhay,0.045
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Machelen (Halle-Vilvoorde),0.046
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Bergen,0.047
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Waterloo,0.048
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Yvoir,0.048
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Lens,0.048
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Herstal,0.049
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Steenokkerzeel,0.049
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Eupen,0.05
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Vilvoorde,0.05
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Trooz,0.052
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Charleroi,0.054
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Zaventem,0.054
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Kraainem,0.055
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Jurbeke,0.055
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Stoumont,0.055
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Dison,0.057
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Ukkel,0.059
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Gent,0.06
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Ottignies-Louvain-la-Neuve,0.062
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Sint-Agatha-Berchem,0.063
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Sint-Pieters-Woluwe,0.064
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Mechelen,0.064
België,Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,Hotton,0.067
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Farciennes,0.068
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Verviers,0.071
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Oudergem,0.074
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Ganshoren,0.076
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Sint-Lambrechts-Woluwe,0.078
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Leuven,0.085
België,Waals Gewest,Provincie Luxemburg,Arrondissement Bastenaken,Gouvy,0.088
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Luik,0.088
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Jette,0.089
België,Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,Rendeux,0.095
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Evere,0.097
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Antwerpen,0.099
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Etterbeek,0.101
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Vorst (Brussel-Hoofdstad),0.108
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Koekelberg,0.119
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Elsene,0.125
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Anderlecht,0.128
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Sint-Gillis,0.147
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Sint-Jans-Molenbeek,0.157
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Schaarbeek,0.159
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Brussel,0.189
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Sint-Joost-ten-Node,0.215
België,,,,,0.037
