Alle werknemersklassen,NIS werknemersklasse,Jaar,Alle plaatsen,Gewest,Aantal oprichtingen
Alle werknemersklassen,Geen werknemer,2021,Alle plaatsen,Vlaams Gewest,69630.0
Alle werknemersklassen,Geen werknemer,2021,Alle plaatsen,Brussels Hoofdstedelijk Gewest,10549.0
Alle werknemersklassen,Geen werknemer,2021,Alle plaatsen,Waals Gewest,24018.0
Alle werknemersklassen,Geen werknemer,2021,Alle plaatsen,Buitenland,3051.0
Alle werknemersklassen,Geen werknemer,2021,Alle plaatsen,Onbekend,11.0
Alle werknemersklassen,Geen werknemer,2021,Alle plaatsen,,107259.0
Alle werknemersklassen,1-4 werknemers,2021,Alle plaatsen,Vlaams Gewest,3184.0
Alle werknemersklassen,1-4 werknemers,2021,Alle plaatsen,Brussels Hoofdstedelijk Gewest,725.0
Alle werknemersklassen,1-4 werknemers,2021,Alle plaatsen,Waals Gewest,1870.0
Alle werknemersklassen,1-4 werknemers,2021,Alle plaatsen,Buitenland,87.0
Alle werknemersklassen,1-4 werknemers,2021,Alle plaatsen,Onbekend,
Alle werknemersklassen,1-4 werknemers,2021,Alle plaatsen,,5866.0
Alle werknemersklassen,5-9 werknemers,2021,Alle plaatsen,Vlaams Gewest,503.0
Alle werknemersklassen,5-9 werknemers,2021,Alle plaatsen,Brussels Hoofdstedelijk Gewest,110.0
Alle werknemersklassen,5-9 werknemers,2021,Alle plaatsen,Waals Gewest,255.0
Alle werknemersklassen,5-9 werknemers,2021,Alle plaatsen,Buitenland,17.0
Alle werknemersklassen,5-9 werknemers,2021,Alle plaatsen,Onbekend,
Alle werknemersklassen,5-9 werknemers,2021,Alle plaatsen,,885.0
Alle werknemersklassen,10-19 werknemers,2021,Alle plaatsen,Vlaams Gewest,177.0
Alle werknemersklassen,10-19 werknemers,2021,Alle plaatsen,Brussels Hoofdstedelijk Gewest,47.0
Alle werknemersklassen,10-19 werknemers,2021,Alle plaatsen,Waals Gewest,81.0
Alle werknemersklassen,10-19 werknemers,2021,Alle plaatsen,Buitenland,8.0
Alle werknemersklassen,10-19 werknemers,2021,Alle plaatsen,Onbekend,
Alle werknemersklassen,10-19 werknemers,2021,Alle plaatsen,,313.0
Alle werknemersklassen,20-49 werknemers,2021,Alle plaatsen,Vlaams Gewest,79.0
Alle werknemersklassen,20-49 werknemers,2021,Alle plaatsen,Brussels Hoofdstedelijk Gewest,28.0
Alle werknemersklassen,20-49 werknemers,2021,Alle plaatsen,Waals Gewest,35.0
Alle werknemersklassen,20-49 werknemers,2021,Alle plaatsen,Buitenland,3.0
Alle werknemersklassen,20-49 werknemers,2021,Alle plaatsen,Onbekend,
Alle werknemersklassen,20-49 werknemers,2021,Alle plaatsen,,145.0
Alle werknemersklassen,50-99 werknemers,2021,Alle plaatsen,Vlaams Gewest,28.0
Alle werknemersklassen,50-99 werknemers,2021,Alle plaatsen,Brussels Hoofdstedelijk Gewest,6.0
Alle werknemersklassen,50-99 werknemers,2021,Alle plaatsen,Waals Gewest,11.0
Alle werknemersklassen,50-99 werknemers,2021,Alle plaatsen,Buitenland,2.0
Alle werknemersklassen,50-99 werknemers,2021,Alle plaatsen,Onbekend,
Alle werknemersklassen,50-99 werknemers,2021,Alle plaatsen,,47.0
Alle werknemersklassen,100-199 werknemers,2021,Alle plaatsen,Vlaams Gewest,16.0
Alle werknemersklassen,100-199 werknemers,2021,Alle plaatsen,Brussels Hoofdstedelijk Gewest,3.0
Alle werknemersklassen,100-199 werknemers,2021,Alle plaatsen,Waals Gewest,8.0
Alle werknemersklassen,100-199 werknemers,2021,Alle plaatsen,Buitenland,1.0
Alle werknemersklassen,100-199 werknemers,2021,Alle plaatsen,Onbekend,
Alle werknemersklassen,100-199 werknemers,2021,Alle plaatsen,,28.0
Alle werknemersklassen,200-249 werknemers,2021,Alle plaatsen,Vlaams Gewest,1.0
Alle werknemersklassen,200-249 werknemers,2021,Alle plaatsen,Brussels Hoofdstedelijk Gewest,1.0
Alle werknemersklassen,200-249 werknemers,2021,Alle plaatsen,Waals Gewest,1.0
Alle werknemersklassen,200-249 werknemers,2021,Alle plaatsen,Buitenland,0.0
Alle werknemersklassen,200-249 werknemers,2021,Alle plaatsen,Onbekend,
Alle werknemersklassen,200-249 werknemers,2021,Alle plaatsen,,3.0
Alle werknemersklassen,250-499 werknemers,2021,Alle plaatsen,Vlaams Gewest,6.0
Alle werknemersklassen,250-499 werknemers,2021,Alle plaatsen,Brussels Hoofdstedelijk Gewest,1.0
Alle werknemersklassen,250-499 werknemers,2021,Alle plaatsen,Waals Gewest,4.0
Alle werknemersklassen,250-499 werknemers,2021,Alle plaatsen,Buitenland,0.0
Alle werknemersklassen,250-499 werknemers,2021,Alle plaatsen,Onbekend,
Alle werknemersklassen,250-499 werknemers,2021,Alle plaatsen,,11.0
Alle werknemersklassen,500-999 werknemers,2021,Alle plaatsen,Vlaams Gewest,0.0
Alle werknemersklassen,500-999 werknemers,2021,Alle plaatsen,Brussels Hoofdstedelijk Gewest,1.0
Alle werknemersklassen,500-999 werknemers,2021,Alle plaatsen,Waals Gewest,1.0
Alle werknemersklassen,500-999 werknemers,2021,Alle plaatsen,Buitenland,0.0
Alle werknemersklassen,500-999 werknemers,2021,Alle plaatsen,Onbekend,
Alle werknemersklassen,500-999 werknemers,2021,Alle plaatsen,,2.0
Alle werknemersklassen,1000-1999 werknemers,2021,Alle plaatsen,Vlaams Gewest,0.0
Alle werknemersklassen,1000-1999 werknemers,2021,Alle plaatsen,Brussels Hoofdstedelijk Gewest,0.0
Alle werknemersklassen,1000-1999 werknemers,2021,Alle plaatsen,Waals Gewest,0.0
Alle werknemersklassen,1000-1999 werknemers,2021,Alle plaatsen,Buitenland,
Alle werknemersklassen,1000-1999 werknemers,2021,Alle plaatsen,Onbekend,
Alle werknemersklassen,1000-1999 werknemers,2021,Alle plaatsen,,0.0
Alle werknemersklassen,2000-2999 werknemers,2021,Alle plaatsen,Vlaams Gewest,0.0
Alle werknemersklassen,2000-2999 werknemers,2021,Alle plaatsen,Brussels Hoofdstedelijk Gewest,0.0
Alle werknemersklassen,2000-2999 werknemers,2021,Alle plaatsen,Waals Gewest,0.0
Alle werknemersklassen,2000-2999 werknemers,2021,Alle plaatsen,Buitenland,
Alle werknemersklassen,2000-2999 werknemers,2021,Alle plaatsen,Onbekend,
Alle werknemersklassen,2000-2999 werknemers,2021,Alle plaatsen,,0.0
Alle werknemersklassen,3000-3999 werknemers,2021,Alle plaatsen,Vlaams Gewest,0.0
Alle werknemersklassen,3000-3999 werknemers,2021,Alle plaatsen,Brussels Hoofdstedelijk Gewest,0.0
Alle werknemersklassen,3000-3999 werknemers,2021,Alle plaatsen,Waals Gewest,0.0
Alle werknemersklassen,3000-3999 werknemers,2021,Alle plaatsen,Buitenland,
Alle werknemersklassen,3000-3999 werknemers,2021,Alle plaatsen,Onbekend,
Alle werknemersklassen,3000-3999 werknemers,2021,Alle plaatsen,,0.0
Alle werknemersklassen,4000-4999 werknemers,2021,Alle plaatsen,Vlaams Gewest,0.0
Alle werknemersklassen,4000-4999 werknemers,2021,Alle plaatsen,Brussels Hoofdstedelijk Gewest,0.0
Alle werknemersklassen,4000-4999 werknemers,2021,Alle plaatsen,Waals Gewest,0.0
Alle werknemersklassen,4000-4999 werknemers,2021,Alle plaatsen,Buitenland,
Alle werknemersklassen,4000-4999 werknemers,2021,Alle plaatsen,Onbekend,
Alle werknemersklassen,4000-4999 werknemers,2021,Alle plaatsen,,0.0
Alle werknemersklassen,5000-9999 werknemers,2021,Alle plaatsen,Vlaams Gewest,0.0
Alle werknemersklassen,5000-9999 werknemers,2021,Alle plaatsen,Brussels Hoofdstedelijk Gewest,0.0
Alle werknemersklassen,5000-9999 werknemers,2021,Alle plaatsen,Waals Gewest,0.0
Alle werknemersklassen,5000-9999 werknemers,2021,Alle plaatsen,Buitenland,0.0
Alle werknemersklassen,5000-9999 werknemers,2021,Alle plaatsen,Onbekend,
Alle werknemersklassen,5000-9999 werknemers,2021,Alle plaatsen,,0.0
Alle werknemersklassen,+ 10000 werknemers,2021,Alle plaatsen,Vlaams Gewest,0.0
Alle werknemersklassen,+ 10000 werknemers,2021,Alle plaatsen,Brussels Hoofdstedelijk Gewest,0.0
Alle werknemersklassen,+ 10000 werknemers,2021,Alle plaatsen,Waals Gewest,0.0
Alle werknemersklassen,+ 10000 werknemers,2021,Alle plaatsen,Buitenland,
Alle werknemersklassen,+ 10000 werknemers,2021,Alle plaatsen,Onbekend,
Alle werknemersklassen,+ 10000 werknemers,2021,Alle plaatsen,,0.0
Alle werknemersklassen,,2021,Alle plaatsen,Vlaams Gewest,73624.0
Alle werknemersklassen,,2021,Alle plaatsen,Brussels Hoofdstedelijk Gewest,11471.0
Alle werknemersklassen,,2021,Alle plaatsen,Waals Gewest,26284.0
Alle werknemersklassen,,2021,Alle plaatsen,Buitenland,3169.0
Alle werknemersklassen,,2021,Alle plaatsen,Onbekend,11.0
Alle werknemersklassen,,2021,Alle plaatsen,,114559.0
