België,Gewest,Provincie,Arrondissement,Gemeente,Aantal woningen
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Diksmuide,Kortemark,4828
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Aywaille,4801
België,Waals Gewest,Provincie Henegouwen,Arrondissement Aat,Bernissart,4795
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Wichelen,4768
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Ieper,Zonnebeke,4749
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Graven,4737
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Veurne,Veurne,4687
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Olen,4686
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Kelmis,4685
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Oostende,Gistel,4663
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Steenokkerzeel,4660
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Nevele,4649
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Theux,4634
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Virton,4620
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Boortmeerbeek,4612
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Kinrooi,4581
België,Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,Durbuy,4581
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Hechtel-Eksel,4572
België,Waals Gewest,Provincie Henegouwen,Arrondissement Aat,Frasnes-lez-Anvaing,4508
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Borsbeek,4507
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Spa,4494
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Deerlijk,4489
België,Waals Gewest,Provincie Namen,Arrondissement Philippeville,Florennes,4469
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Profondeville,4467
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Aiseau-Presles,4406
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Tielt,Meulebeke,4394
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Grobbendonk,4386
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Roeselare,Moorslede,4386
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Nazareth,4362
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Alken,4358
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Melle,4349
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Montigny-le-Tilleul,4327
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Farciennes,4305
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Kampenhout,4302
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Rijkevorsel,4298
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Berlaar,4291
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Roeselare,Ingelmunster,4273
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Roeselare,Staden,4268
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Roosdaal,4253
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Seneffe,4236
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Brugge,Damme,4225
België,Waals Gewest,Provincie Henegouwen,Arrondissement Zinnik,Ecaussinnes,4220
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Chaumont-Gistoux,4214
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Hemiksem,4184
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Borgloon,4183
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Retie,4178
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Waasmunster,4170
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Oud-Heverlee,4158
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Chimay,4146
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Hulshout,4138
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Tielt-Winge,4115
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Ham,4103
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,De Pinte,4065
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Raeren,4061
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Rebecq,4058
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Hoeilaart,4024
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Erquelinnes,4022
België,Waals Gewest,Provincie Henegouwen,Arrondissement Doornik,Estaimpuis,4019
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Vosselaar,4007
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Libramont-Chevigny,4006
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Avelgem,3992
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Meerhout,3991
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Sint-Lievens-Houtem,3980
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Neupré,3934
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Begijnendijk,3914
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Jurbeke,3886
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Plombières,3863
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Fosses-la-Ville,3836
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Lovendegem,3826
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Niel,3822
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Villers-la-Ville,3818
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Welkenraedt,3795
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Diksmuide,Houthulst,3776
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Kasteelbrakel,3767
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Roeselare,Hooglede,3758
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Opglabbeek,3745
België,Waals Gewest,Provincie Namen,Arrondissement Philippeville,Philippeville,3743
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Hoeselt,3724
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Roeselare,Ledegem,3719
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Kapelle-op-den-Bos,3679
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Halen,3671
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Pepinster,3669
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Holsbeek,3656
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Dessel,3653
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Tielt,Ardooie,3637
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Wijnegem,3635
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Oostende,Oudenburg,3634
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Sankt Vith,3630
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Court-Saint-Etienne,3615
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Huldenberg,3597
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Bierbeek,3580
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Beauraing,3570
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Tielt,Wielsbeke,3565
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Les Bons Villers,3553
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Bertem,3542
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Bitsingen,3536
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Herenthout,3501
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Diksmuide,Koekelare,3490
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Gooik,3438
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Awans,3409
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Yvoir,3401
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Bertrix,3400
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Roeselare,Lichtervelde,3396
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Lennik,3395
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Knesselare,3368
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Sint-Martens-Latem,3356
België,Waals Gewest,Provincie Henegouwen,Arrondissement Zinnik,Le Roeulx,3356
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Juprelle,3352
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Trooz,3349
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Zoutleeuw,3302
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Galmaarden,3301
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Zomergem,3282
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Gingelom,3258
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Schelle,3240
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Waarschoot,3224
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Kortessem,3222
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Ieper,Heuvelland,3194
België,Waals Gewest,Provincie Henegouwen,Arrondissement Doornik,Antoing,3191
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Tielt,Dentergem,3171
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Zwalm,3170
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Lint,3164
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Quévy,3150
België,Waals Gewest,Provincie Namen,Arrondissement Namen,La Bruyère,3146
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Kruishoutem,3119
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Hove (Antwerpen),3113
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Sint-Amands,3099
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Orp-Jauche,3085
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Jalhay,3085
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Ieper,Langemark-Poelkapelle,3080
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Estinnes,3077
België,Waals Gewest,Provincie Luxemburg,Arrondissement Aarlen,Messancy,3077
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Kortenaken,3074
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,As,3073
België,Waals Gewest,Provincie Henegouwen,Arrondissement Zinnik,Opzullik,3067
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Merksplas,3055
België,Waals Gewest,Provincie Henegouwen,Arrondissement Doornik,Brunehaut,3044
België,Waals Gewest,Provincie Luxemburg,Arrondissement Bastenaken,Vielsalm,3026
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Vorselaar,3012
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Sombreffe,3010
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Habay,2996
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Tielt,Oostrozebeke,2982
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Perwijs (Nijvel),2967
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Boutersem,2924
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Wellen,2909
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Floreffe,2905
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Zingem,2875
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Wachtebeke,2857
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Heers,2830
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Beaumont,2827
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Linter,2814
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Quiévrain,2796
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Anhée,2796
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Zutendaal,2776
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Hensies,2766
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Stavelot,2747
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Terhulpen,2733
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Hamois,2703
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Dalhem,2695
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Neufchâteau (Neufchâteau),2689
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Eeklo,Sint-Laureins,2685
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Nieuwerkerken (Hasselt),2659
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Saint-Georges-sur-Meuse,2645
België,Waals Gewest,Provincie Namen,Arrondissement Philippeville,Viroinval,2638
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Mont-Saint-Guibert,2635
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Weismes,2633
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Hoegaarden,2611
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Fernelmont,2604
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Hastière,2597
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Tielt,Pittem,2586
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Lierde,2581
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Kluisbergen,2580
België,Waals Gewest,Provincie Henegouwen,Arrondissement Aat,Chièvres,2576
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Gesves,2491
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Bevekom,2486
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Eeklo,Kaprijke,2482
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Herne,2478
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Chastre,2459
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Moerbeke (Gent),2436
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Wortegem-Petegem,2421
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Assesse,2414
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Engis,2407
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Itter,2385
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Bouillon,2380
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Bekkevoort,2374
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Maarkedal,2358
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Florenville,2357
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Saint-Hubert,2355
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Geetbets,2354
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Walhain,2349
België,Waals Gewest,Provincie Henegouwen,Arrondissement Aat,Elzele,2347
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Villers-Le-Bouillet,2337
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Lendelede,2291
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Lobbes,2286
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Braives,2240
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Ramillies,2214
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Limburg,2211
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Comblain-au-Pont,2192
België,Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,Hotton,2180
België,Waals Gewest,Provincie Henegouwen,Arrondissement Doornik,Pecq,2175
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Momignies,2160
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Bütgenbach,2133
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Remicourt,2127
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Nandrin,2120
België,Waals Gewest,Provincie Henegouwen,Arrondissement Doornik,Celles (Doornik),2114
België,Waals Gewest,Provincie Henegouwen,Arrondissement Doornik,Rumes,2097
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Marchin,2093
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Honnelles,2090
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Paliseul,2055
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Chiny,2049
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Büllingen,2045
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Lontzen,2033
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Etalle,2017
België,Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,Nassogne,2010
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Sivry-Rance,2009
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Glabbeek,2005
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Somme-Leuze,2004
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Tielt,Ruiselede,1997
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Amel,1986
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Drogenbos,1980
België,Waals Gewest,Provincie Luxemburg,Arrondissement Bastenaken,Houffalize,1973
België,Waals Gewest,Provincie Namen,Arrondissement Philippeville,Cerfontaine,1946
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Veurne,Alveringem,1917
België,Waals Gewest,Provincie Luxemburg,Arrondissement Bastenaken,Gouvy,1904
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Libin,1887
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Linkebeek,1877
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Thimister-Clermont,1877
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Ferrières,1874
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Gedinne,1874
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Houyet,1857
België,Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,La Roche-en-Ardenne,1851
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Havelange,1847
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Héron,1840
België,Waals Gewest,Provincie Luxemburg,Arrondissement Bastenaken,Vaux-sur-Sûre,1793
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Ohey,1780
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Incourt,1775
België,Waals Gewest,Provincie Luxemburg,Arrondissement Aarlen,Attert,1740
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Léglise,1708
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Lens,1707
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Merbes-le-Château,1682
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Musson,1674
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Clavier,1669
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Anthisnes,1629
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Voeren,1620
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Aubel,1596
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Baelen,1574
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Hamoir,1570
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Pepingen,1557
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Modave,1510
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Froidchapelle,1508
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Burg-Reuland,1490
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Tintigny,1489
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Olne,1488
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Ieper,Vleteren,1406
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Oerle,1404
België,Waals Gewest,Provincie Henegouwen,Arrondissement Aat,Brugelette,1376
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Verlaine,1376
België,Waals Gewest,Provincie Henegouwen,Arrondissement Doornik,Mont-de-l’Enclus,1372
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Faimes,1369
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Lierneux,1345
België,Waals Gewest,Provincie Henegouwen,Arrondissement Aat,Vloesberg,1331
België,Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,Manhay,1311
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Bièvre,1286
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Hélécine,1274
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Saint-Léger (Virton),1270
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Onhaye,1258
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Vresse-sur-Semois,1256
België,Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,Erezée,1254
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Diksmuide,Lo-Reninge,1207
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Stoumont,1204
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Fexhe-le-Haut-Clocher,1201
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Lijsem,1193
België,Waals Gewest,Provincie Luxemburg,Arrondissement Bastenaken,Bertogne,1168
België,Waals Gewest,Provincie Namen,Arrondissement Philippeville,Doische,1168
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Crisnée,1158
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Berloz,1150
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Wellin,1148
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Geer,1145
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Burdinne,1120
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Meix-devant-Virton,1120
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Brugge,Zuienkerke,1097
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Donceel,1085
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Ouffet,1081
België,Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,Tenneville,1036
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Baarle-Hertog,1028
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Trois-Ponts,1015
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Wasseiges,990
België,Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,Rendeux,990
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Tellin,981
België,Waals Gewest,Provincie Luxemburg,Arrondissement Bastenaken,Sainte-Ode,934
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Tinlot,921
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Spiere-Helkijn,845
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Bever,831
België,Waals Gewest,Provincie Luxemburg,Arrondissement Bastenaken,Fauvillers,798
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Rouvroy,793
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Horebeke,750
België,Waals Gewest,Provincie Luxemburg,Arrondissement Aarlen,Martelange,701
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Herbeumont,652
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Daverdisse,583
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Ieper,Mesen,408
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Herstappe,28
België,,,,,4503194
